"","block2","block3"
"129s1.SvImJ",0,0
"A.J",0,0
"C57BL.6J",1,0
"Cast.EiJ",0,0
"CC001cs",0,0
"CC002cs",0,0
"CC003cs",0,0
"CC004cs",0,0
"CC005cs",0,0
"CC006cs",0,0
"CC007cs",1,0
"CC008cs",1,0
"CC009cs",0,0
"CC010cs",0,0
"CC011cs",0,0
"CC012cs",0,0
"CC013cs",1,0
"CC015cs",0,0
"CC016cs",1,0
"CC017cs",0,0
"CC018cs",0,0
"CC019cs",0,0
"CC021cs",1,0
"CC022cs",1,0
"CC023cs",0,0
"CC024cs",0,0
"CC025cs",0,0
"CC027cs",0,1
"CC028cs",1,0
"CC029cs",0,1
"CC030cs",1,0
"CC031cs",0,1
"CC032cs",0,0
"CC033cs",1,0
"CC034cs",0,1
"CC035cs",1,0
"CC037cs",0,1
"CC038cs",1,0
"CC039cs",0,0
"CC040cs",0,0
"CC041cs",0,0
"CC042cs",0,0
"CC043cs",1,0
"CC044cs",0,1
"CC045cs",0,1
"CC046cs",0,1
"CC047cs",1,0
"CC051cs",0,0
"CC055cs",0,1
"CC056cs",1,0
"CC057cs",1,0
"CC059cs",0,1
"CC060cs",0,1
"CC061cs",1,0
"CC065cs",0,0
"CC068cs",0,1
"NOD.ShiLtJ",0,0
"NZO.H1LtJ",0,0
"PWK.PhJ",0,0
"Wsb.Eij",0,0
